county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,vote_diff,rep_margin_pct,dva_pct_needed,dem_base_pct,target_category,feasibility_tier,opportunity_score
FORSYTH,17,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,816,864,0,1680,48,2.86,2.91,48.57,Medium-Target,Medium-term,0.5675675675675675
FORSYTH,806,NC COMMISSIONER OF LABOR,2024-11-05,755,796,0,1551,41,2.64,2.7,48.68,Medium-Target,Medium-term,0.5660583941605839
FORSYTH,67,NC LIEUTENANT GOVERNOR,2024-11-05,660,695,0,1355,35,2.58,2.65,48.71,Medium-Target,Medium-term,0.5055970149253731
FORSYTH,16,US SENATE,2022-11-08,722,767,0,1489,45,3.02,3.09,48.49,Medium-Target,Longer-term,0.47724358974358977
FORSYTH,909,DISTRICT ATTORNEY DISTRICT 31,2022-11-08,396,409,0,805,13,1.61,1.73,49.19,High-Target,Short-term,0.47076023391812866
FORSYTH,802,NC HOUSE OF REPRESENTATIVES DISTRICT 072,2020-11-03,639,676,0,1315,37,2.81,2.89,48.59,Medium-Target,Medium-term,0.4518900343642612
FORSYTH,67,NC SECRETARY OF STATE,2024-11-05,680,724,0,1404,44,3.13,3.2,48.43,Medium-Target,Longer-term,0.4346749226006192
FORSYTH,52,NC LIEUTENANT GOVERNOR,2024-11-05,477,498,0,975,21,2.15,2.25,48.92,Medium-Target,Medium-term,0.43333333333333335
FORSYTH,67,NC GOVERNOR,2020-11-03,699,752,0,1451,53,3.65,3.72,48.17,Medium-Target,Longer-term,0.38693333333333335
FORSYTH,77,NC COURT OF APPEALS JUDGE SEAT 08,2022-11-08,714,771,0,1485,57,3.84,3.9,48.08,Medium-Target,Longer-term,0.3769035532994924
FORSYTH,67,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,669,720,0,1389,51,3.67,3.74,48.16,Medium-Target,Longer-term,0.3684350132625995
FORSYTH,802,NC COMMISSIONER OF INSURANCE,2020-11-03,635,682,0,1317,47,3.57,3.64,48.22,Medium-Target,Longer-term,0.3588555858310627
FORSYTH,52,US SENATE,2022-11-08,385,402,0,787,17,2.16,2.28,48.92,Medium-Target,Medium-term,0.34823008849557524
FORSYTH,52,NC SECRETARY OF STATE,2020-11-03,505,539,0,1044,34,3.26,3.35,48.37,Medium-Target,Longer-term,0.3107142857142857
FORSYTH,804,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,504,541,0,1045,37,3.54,3.63,48.23,Medium-Target,Longer-term,0.28708791208791207
FORSYTH,804,NC TREASURER,2020-11-03,512,553,0,1065,41,3.85,3.94,48.08,Medium-Target,Longer-term,0.26962025316455696
FORSYTH,52,FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE,2022-11-08,385,410,0,795,25,3.14,3.26,48.43,Medium-Target,Longer-term,0.24537037037037038
FORSYTH,52,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05,2022-11-08,385,415,0,800,30,3.75,3.87,48.13,Medium-Target,Longer-term,0.2077922077922078
FORSYTH,62,US HOUSE OF REPRESENTATIVES DISTRICT 06,2020-11-03,90,96,0,186,6,3.23,3.72,48.39,Medium-Target,Longer-term,0.055855855855855854
