geoid,tract_id,full_fips,state,county,total_population,median_income,median_home_value,education_rate,homeowner_rate,remote_work_rate,population_density,latitude,longitude,population_cluster,economic_cluster,education_cluster,geographic_cluster,comprehensive_cluster
37067004005,004005,37067004005,NC,FORSYTH,4875,92895,292100,0.396307692307692,0.896809571286142,0.0941538461538462,3499889362394.7827,36.0069988,-80.4023669,0,0,2,4,3
37067004007,004007,37067004007,NC,FORSYTH,8186,111182,366500,0.368189591986318,0.909369676320273,0.0668214023943318,1353818925051.3862,36.056003,-80.454634,2,0,3,2,3
37067004009,004009,37067004009,NC,FORSYTH,5085,108284,289500,0.299901671583088,0.943254198031268,0.0377581120943953,2066901624198.4365,36.1104938,-80.4435537,0,3,2,0,3
37067004010,004010,37067004010,NC,FORSYTH,5401,134866,468800,0.471394186261803,0.570977917981073,0.0947972597667099,4384169378693.139,36.1072507,-80.3802066,2,0,3,0,1
37067004011,004011,37067004011,NC,FORSYTH,5978,85026,240800,0.323854131816661,0.69812925170068,0.120107059217129,5484517340120.496,36.0892576,-80.3943403,2,0,2,4,3
37067004012,004012,37067004012,NC,FORSYTH,5663,67696,259100,0.324916122196716,0.745813653928725,0.0621578668550238,5946840936836.432,36.0580225,-80.38339,2,3,2,4,3
37067004013,004013,37067004013,NC,FORSYTH,3441,69927,285000,0.35164196454519,0.602382725241996,0.0557977332170881,6178766518565.01,36.0355127,-80.3979649,1,3,2,4,3
37067004014,004014,37067004014,NC,FORSYTH,3671,60144,274300,0.304004358485426,0.669181659895531,0.0465813129937347,5512233664224.567,36.0256219,-80.3728071,1,3,2,4,3
37067004015,004015,37067004015,NC,FORSYTH,4786,98382,279800,0.312787296280819,0.738366080661841,0.100501462599248,3077727296790.907,36.004688,-80.3624518,1,0,2,4,3
37067004102,004102,37067004102,NC,FORSYTH,2813,66927,199500,0.256665481692144,0.874251497005988,0.0270174191254888,708351558639.1238,36.1699115,-80.4124613,1,1,1,2,2
37067004103,004103,37067004103,NC,FORSYTH,4858,104313,296800,0.354672704816797,0.825901038485034,0.0570193495265541,3430916554773.6436,36.1364451,-80.3647845,1,3,2,0,3
37067004104,004104,37067004104,NC,FORSYTH,4321,107111,271800,0.342513307104837,0.910438144329897,0.055542698449433,2829010844823.6455,36.1685797,-80.3813276,1,3,2,0,3
