county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score
FORSYTH,806,US HOUSE OF REPRESENTATIVES DISTRICT 10,2024-11-05,761,735,0,1496,DEM,26,1.74,1.74,1.8,Tier 3: Medium Priority (1.0-2.0%),0.8130434782608695
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,795,767,0,1562,DEM,28,1.79,1.79,1.85,Tier 3: Medium Priority (1.0-2.0%),0.8264550264550264
FORSYTH,77,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1158,1117,0,2275,DEM,41,1.8,1.8,1.84,Tier 3: Medium Priority (1.0-2.0%),1.1973684210526314
FORSYTH,131,NC LIEUTENANT GOVERNOR,2024-11-05,1520,1466,0,2986,DEM,54,1.81,1.81,1.84,Tier 3: Medium Priority (1.0-2.0%),1.5633507853403141
FORSYTH,68,NC GOVERNOR,2024-11-05,1098,1059,0,2157,DEM,39,1.81,1.81,1.85,Tier 3: Medium Priority (1.0-2.0%),1.1293193717277488
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 04,2020-11-03,1434,1383,0,2817,DEM,51,1.81,1.81,1.84,Tier 3: Medium Priority (1.0-2.0%),1.474869109947644
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,1194,1151,0,2345,DEM,43,1.83,1.83,1.87,Tier 3: Medium Priority (1.0-2.0%),1.2150259067357514
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 13,2020-11-03,1422,1371,0,2793,DEM,51,1.83,1.83,1.86,Tier 3: Medium Priority (1.0-2.0%),1.4471502590673575
FORSYTH,42,DISTRICT ATTORNEY DISTRICT 31,2022-11-08,828,798,0,1626,DEM,30,1.85,1.85,1.9,Tier 3: Medium Priority (1.0-2.0%),0.8338461538461537
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 07,2020-11-03,818,788,0,1606,DEM,30,1.87,1.87,1.93,Tier 3: Medium Priority (1.0-2.0%),0.8152284263959391
FORSYTH,61,FORSYTH COUNTY SHERIFF,2022-11-08,588,566,0,1154,DEM,22,1.91,1.91,1.99,Tier 3: Medium Priority (1.0-2.0%),0.5741293532338309
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,796,766,0,1562,DEM,30,1.92,1.92,1.98,Tier 3: Medium Priority (1.0-2.0%),0.7732673267326733
FORSYTH,74,NC ATTORNEY GENERAL,2020-11-03,1456,1401,0,2857,DEM,55,1.93,1.93,1.96,Tier 3: Medium Priority (1.0-2.0%),1.4073891625615766
FORSYTH,804,CITY OF WINSTON-SALEM COUNCIL MEMBER WEST WARD,2024-11-05,528,508,0,1036,DEM,20,1.93,1.93,2.02,Tier 3: Medium Priority (1.0-2.0%),0.510344827586207
FORSYTH,802,US SENATE,2020-11-03,687,661,0,1348,DEM,26,1.93,1.93,2.0,Tier 3: Medium Priority (1.0-2.0%),0.6640394088669952
FORSYTH,123,NC TREASURER,2020-11-03,1237,1190,0,2427,DEM,47,1.94,1.94,1.98,Tier 3: Medium Priority (1.0-2.0%),1.1897058823529412
FORSYTH,74,NC COMMISSIONER OF INSURANCE,2020-11-03,1435,1380,0,2815,DEM,55,1.95,1.95,1.99,Tier 3: Medium Priority (1.0-2.0%),1.3731707317073172
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,820,788,0,1608,DEM,32,1.99,1.99,2.05,Tier 3: Medium Priority (1.0-2.0%),0.7693779904306222
FORSYTH,74,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2020-11-03,1439,1381,0,2820,DEM,58,2.06,2.06,2.09,Tier 4: Opportunity (2.0-5.0%),1.3055555555555554
FORSYTH,908,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1180,1131,0,2311,DEM,49,2.12,2.12,2.16,Tier 4: Opportunity (2.0-5.0%),1.040990990990991
FORSYTH,803,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,721,691,0,1412,DEM,30,2.12,2.12,2.19,Tier 4: Opportunity (2.0-5.0%),0.636036036036036
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 05,2020-11-03,1436,1376,0,2812,DEM,60,2.13,2.13,2.17,Tier 4: Opportunity (2.0-5.0%),1.2609865470852017
FORSYTH,908,NC COURT OF APPEALS JUDGE SEAT 13,2020-11-03,1192,1142,0,2334,DEM,50,2.14,2.14,2.18,Tier 4: Opportunity (2.0-5.0%),1.0419642857142857
FORSYTH,132,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1944,1862,0,3806,DEM,82,2.15,2.15,2.18,Tier 4: Opportunity (2.0-5.0%),1.6915555555555555
FORSYTH,16,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1184,1133,0,2317,DEM,51,2.2,2.2,2.24,Tier 4: Opportunity (2.0-5.0%),1.007391304347826
FORSYTH,74,NC COMMISSIONER OF AGRICULTURE,2024-11-05,1456,1393,0,2849,DEM,63,2.21,2.21,2.24,Tier 4: Opportunity (2.0-5.0%),1.2333333333333334
FORSYTH,131,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1557,1489,0,3046,DEM,68,2.23,2.23,2.26,Tier 4: Opportunity (2.0-5.0%),1.3072961373390557
FORSYTH,809,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,1176,1124,0,2300,DEM,52,2.26,2.26,2.3,Tier 4: Opportunity (2.0-5.0%),0.9745762711864406
FORSYTH,802,NC LIEUTENANT GOVERNOR,2020-11-03,694,663,0,1357,DEM,31,2.28,2.28,2.35,Tier 4: Opportunity (2.0-5.0%),0.5701680672268907
FORSYTH,804,NC COMMISSIONER OF LABOR,2020-11-03,536,512,0,1048,DEM,24,2.29,2.29,2.38,Tier 4: Opportunity (2.0-5.0%),0.4384937238493724
FORSYTH,74,NC LIEUTENANT GOVERNOR,2020-11-03,1454,1386,0,2840,DEM,68,2.39,2.39,2.43,Tier 4: Opportunity (2.0-5.0%),1.1405622489959837
FORSYTH,807,US HOUSE OF REPRESENTATIVES DISTRICT 05,2022-11-08,633,603,0,1236,DEM,30,2.43,2.43,2.5,Tier 4: Opportunity (2.0-5.0%),0.4885375494071145
FORSYTH,101,DISTRICT ATTORNEY DISTRICT 31,2022-11-08,625,595,0,1220,DEM,30,2.46,2.46,2.54,Tier 4: Opportunity (2.0-5.0%),0.4765625
FORSYTH,908,NC LIEUTENANT GOVERNOR,2020-11-03,1222,1163,0,2385,DEM,59,2.47,2.47,2.51,Tier 4: Opportunity (2.0-5.0%),0.9280155642023344
FORSYTH,807,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2020-11-03,831,791,0,1622,DEM,40,2.47,2.47,2.52,Tier 4: Opportunity (2.0-5.0%),0.6311284046692607
FORSYTH,807,NC COMMISSIONER OF LABOR,2020-11-03,827,787,0,1614,DEM,40,2.48,2.48,2.54,Tier 4: Opportunity (2.0-5.0%),0.6255813953488372
FORSYTH,807,NC STATE SENATE DISTRICT 32,2020-11-03,828,787,0,1615,DEM,41,2.54,2.54,2.6,Tier 4: Opportunity (2.0-5.0%),0.6117424242424242
FORSYTH,809,NC COURT OF APPEALS JUDGE SEAT 09,2022-11-08,1002,952,0,1954,DEM,50,2.56,2.56,2.61,Tier 4: Opportunity (2.0-5.0%),0.7345864661654135
FORSYTH,74,NC STATE SENATE DISTRICT 32,2020-11-03,1441,1369,0,2810,DEM,72,2.56,2.56,2.6,Tier 4: Opportunity (2.0-5.0%),1.0563909774436089
FORSYTH,101,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2020-11-03,2249,2134,0,4383,DEM,115,2.62,2.62,2.65,Tier 4: Opportunity (2.0-5.0%),1.6113970588235293
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 07,2020-11-03,803,761,0,1564,DEM,42,2.69,2.69,2.75,Tier 4: Opportunity (2.0-5.0%),0.560573476702509
FORSYTH,807,NC COURT OF APPEALS JUDGE SEAT 11,2022-11-08,626,593,0,1219,DEM,33,2.71,2.71,2.78,Tier 4: Opportunity (2.0-5.0%),0.43380782918149474
FORSYTH,804,NC ATTORNEY GENERAL,2020-11-03,558,528,0,1086,DEM,30,2.76,2.76,2.85,Tier 4: Opportunity (2.0-5.0%),0.3797202797202798
FORSYTH,701,NC COMMISSIONER OF AGRICULTURE,2020-11-03,615,582,0,1197,DEM,33,2.76,2.76,2.84,Tier 4: Opportunity (2.0-5.0%),0.4185314685314686
FORSYTH,802,NC COMMISSIONER OF LABOR,2024-11-05,715,676,0,1391,DEM,39,2.8,2.8,2.87,Tier 4: Opportunity (2.0-5.0%),0.47965517241379313
FORSYTH,71,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1585,1498,0,3083,DEM,87,2.82,2.82,2.85,Tier 4: Opportunity (2.0-5.0%),1.055821917808219
FORSYTH,806,US SENATE,2020-11-03,793,749,0,1542,DEM,44,2.85,2.85,2.91,Tier 4: Opportunity (2.0-5.0%),0.5227118644067796
