county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed,strategic_tier,priority_score,dva_votes_added,new_dem_votes,new_total_votes,new_vote_diff,flipped
FORSYTH,77,FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE,2022-11-08,732,761,0,1493,REP,29,1.94,-1.94,2.01,Tier 3: Medium Priority (1.0-2.0%),0.7318627450980393,45,777,1538,-16,True
FORSYTH,132,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT B,2024-11-05,4647,4832,0,9479,REP,185,1.95,-1.95,1.96,Tier 3: Medium Priority (1.0-2.0%),4.62390243902439,284,4931,9763,-99,True
FORSYTH,809,NC COMMISSIONER OF AGRICULTURE,2024-11-05,1150,1197,0,2347,REP,47,2.0,-2.0,2.04,Tier 3: Medium Priority (1.0-2.0%),1.1176190476190475,70,1220,2417,-23,True
FORSYTH,11,NC GOVERNOR,2020-11-03,1923,2003,0,3926,REP,80,2.04,-2.04,2.06,Tier 4: Opportunity (2.0-5.0%),1.8345794392523365,118,2041,4044,-38,True
FORSYTH,43,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1025,1069,0,2094,REP,44,2.1,-2.1,2.15,Tier 4: Opportunity (2.0-5.0%),0.9518181818181817,63,1088,2157,-19,True
FORSYTH,15,NC ATTORNEY GENERAL,2024-11-05,1701,1775,0,3476,REP,74,2.13,-2.13,2.16,Tier 4: Opportunity (2.0-5.0%),1.5587443946188342,104,1805,3580,-30,True
FORSYTH,77,NC AUDITOR,2024-11-05,1082,1129,0,2211,REP,47,2.13,-2.13,2.17,Tier 4: Opportunity (2.0-5.0%),0.9914798206278027,66,1148,2277,-19,True
FORSYTH,52,NC LIEUTENANT GOVERNOR,2024-11-05,477,498,0,975,REP,21,2.15,-2.15,2.25,Tier 4: Opportunity (2.0-5.0%),0.4333333333333333,29,506,1004,-8,True
FORSYTH,52,US SENATE,2022-11-08,385,402,0,787,REP,17,2.16,-2.16,2.28,Tier 4: Opportunity (2.0-5.0%),0.3482300884955752,24,409,811,-7,True
FORSYTH,73,NC GOVERNOR,2024-11-05,1337,1398,0,2735,REP,61,2.23,-2.23,2.27,Tier 4: Opportunity (2.0-5.0%),1.1738197424892705,82,1419,2817,-21,True
FORSYTH,43,NC SECRETARY OF STATE,2024-11-05,1030,1077,0,2107,REP,47,2.23,-2.23,2.28,Tier 4: Opportunity (2.0-5.0%),0.9042918454935623,63,1093,2170,-16,True
FORSYTH,131,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05,2022-11-08,1048,1097,0,2145,REP,49,2.28,-2.28,2.33,Tier 4: Opportunity (2.0-5.0%),0.9012605042016807,64,1112,2209,-15,True
FORSYTH,77,NC COMMISSIONER OF INSURANCE,2024-11-05,1108,1160,0,2268,REP,52,2.29,-2.29,2.33,Tier 4: Opportunity (2.0-5.0%),0.9489539748953973,68,1176,2336,-16,True
FORSYTH,806,NC COMMISSIONER OF INSURANCE,2024-11-05,763,799,0,1562,REP,36,2.3,-2.3,2.37,Tier 4: Opportunity (2.0-5.0%),0.6508333333333334,47,810,1609,-11,True
FORSYTH,132,NC AUDITOR,2020-11-03,1712,1794,0,3506,REP,82,2.34,-2.34,2.37,Tier 4: Opportunity (2.0-5.0%),1.4368852459016392,105,1817,3611,-23,True
FORSYTH,43,NC SECRETARY OF STATE,2020-11-03,1041,1092,0,2133,REP,51,2.39,-2.39,2.44,Tier 4: Opportunity (2.0-5.0%),0.8566265060240963,64,1105,2197,-13,True
FORSYTH,807,NC TREASURER,2020-11-03,788,827,0,1615,REP,39,2.41,-2.41,2.47,Tier 4: Opportunity (2.0-5.0%),0.6434262948207171,48,836,1663,-9,True
FORSYTH,135,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1370,1438,0,2808,REP,68,2.42,-2.42,2.46,Tier 4: Opportunity (2.0-5.0%),1.114285714285714,84,1454,2892,-16,True
FORSYTH,803,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 02,2020-11-03,723,760,0,1483,REP,37,2.49,-2.49,2.56,Tier 4: Opportunity (2.0-5.0%),0.5725868725868726,44,767,1527,-7,True
FORSYTH,807,NC COMMISSIONER OF LABOR,2024-11-05,751,790,0,1541,REP,39,2.53,-2.53,2.59,Tier 4: Opportunity (2.0-5.0%),0.5859315589353612,46,797,1587,-7,True
FORSYTH,133,NC GOVERNOR,2020-11-03,2493,2624,0,5117,REP,131,2.56,-2.56,2.58,Tier 4: Opportunity (2.0-5.0%),1.9236842105263157,154,2647,5271,-23,True
FORSYTH,67,NC LIEUTENANT GOVERNOR,2024-11-05,660,695,0,1355,REP,35,2.58,-2.58,2.65,Tier 4: Opportunity (2.0-5.0%),0.5055970149253731,41,701,1396,-6,True
FORSYTH,43,NC LIEUTENANT GOVERNOR,2024-11-05,988,1041,0,2029,REP,53,2.61,-2.61,2.66,Tier 4: Opportunity (2.0-5.0%),0.7487084870848708,61,1049,2090,-8,True
FORSYTH,43,US SENATE,2020-11-03,999,1053,0,2052,REP,54,2.63,-2.63,2.68,Tier 4: Opportunity (2.0-5.0%),0.7516483516483516,62,1061,2114,-8,True
FORSYTH,806,NC COMMISSIONER OF LABOR,2024-11-05,755,796,0,1551,REP,41,2.64,-2.64,2.7,Tier 4: Opportunity (2.0-5.0%),0.5660583941605839,47,802,1598,-6,True
FORSYTH,43,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1024,1081,0,2105,REP,57,2.71,-2.71,2.75,Tier 4: Opportunity (2.0-5.0%),0.7491103202846976,63,1087,2168,-6,True
FORSYTH,77,NC STATE SENATE DISTRICT 31,2024-11-05,1104,1166,0,2270,REP,62,2.73,-2.73,2.77,Tier 4: Opportunity (2.0-5.0%),0.8021201413427562,68,1172,2338,-6,True
FORSYTH,132,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 05,2022-11-08,1292,1365,0,2657,REP,73,2.75,-2.75,2.78,Tier 4: Opportunity (2.0-5.0%),0.9322807017543859,80,1372,2737,-7,True
FORSYTH,132,NC COURT OF APPEALS JUDGE SEAT 15,2024-11-05,1834,1938,0,3772,REP,104,2.76,-2.76,2.78,Tier 4: Opportunity (2.0-5.0%),1.318881118881119,113,1947,3885,-9,True
FORSYTH,131,US HOUSE OF REPRESENTATIVES DISTRICT 10,2024-11-05,1388,1467,0,2855,REP,79,2.77,-2.77,2.8,Tier 4: Opportunity (2.0-5.0%),0.994773519163763,86,1474,2941,-7,True
FORSYTH,802,NC HOUSE OF REPRESENTATIVES DISTRICT 072,2020-11-03,639,676,0,1315,REP,37,2.81,-2.81,2.89,Tier 4: Opportunity (2.0-5.0%),0.4518900343642612,39,678,1354,-2,True
FORSYTH,132,NC COURT OF APPEALS JUDGE SEAT 08,2022-11-08,1281,1355,0,2636,REP,74,2.81,-2.81,2.84,Tier 4: Opportunity (2.0-5.0%),0.9058419243986254,79,1360,2715,-5,True
FORSYTH,17,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,816,864,0,1680,REP,48,2.86,-2.86,2.91,Tier 4: Opportunity (2.0-5.0%),0.5675675675675675,50,866,1730,-2,True
FORSYTH,131,NC COURT OF APPEALS JUDGE SEAT 08,2022-11-08,1032,1093,0,2125,REP,61,2.87,-2.87,2.91,Tier 4: Opportunity (2.0-5.0%),0.7154882154882154,64,1096,2189,-3,True
FORSYTH,55,NC SECRETARY OF STATE,2024-11-05,1564,1658,0,3222,REP,94,2.92,-2.92,2.95,Tier 4: Opportunity (2.0-5.0%),1.0668874172185432,97,1661,3319,-3,True
FORSYTH,15,NC SUPERINTENDENT OF PUBLIC INSTRUCTION,2024-11-05,1671,1772,0,3443,REP,101,2.93,-2.93,2.96,Tier 4: Opportunity (2.0-5.0%),1.1363036303630363,103,1774,3546,-2,True
FORSYTH,132,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 03,2022-11-08,1294,1373,0,2667,REP,79,2.96,-2.96,3.0,Tier 4: Opportunity (2.0-5.0%),0.8715686274509803,80,1374,2747,-1,True
FORSYTH,16,NC COURT OF APPEALS JUDGE SEAT 12,2024-11-05,1116,1184,0,2300,REP,68,2.96,-2.96,3.0,Tier 4: Opportunity (2.0-5.0%),0.7516339869281046,69,1185,2369,-1,True
FORSYTH,132,US HOUSE OF REPRESENTATIVES DISTRICT 10,2024-11-05,1747,1854,0,3601,REP,107,2.97,-2.97,3.0,Tier 4: Opportunity (2.0-5.0%),1.1729641693811075,108,1855,3709,-1,True
FORSYTH,77,US HOUSE OF REPRESENTATIVES DISTRICT 10,2024-11-05,1046,1110,0,2156,REP,64,2.97,-2.97,3.01,Tier 4: Opportunity (2.0-5.0%),0.7022801302931596,65,1111,2221,-1,True
