county,precinct,contest_name,election_date,dem_votes,rep_votes,other_votes,total_votes,winner,vote_diff,margin_pct,dem_margin_pct,dva_pct_needed
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 07,2020-11-03,1420,1390,0,2810,DEM,30,1.07,1.07,1.1
FORSYTH,802,NC COURT OF APPEALS JUDGE SEAT 13,2020-11-03,658,644,0,1302,DEM,14,1.08,1.08,1.15
FORSYTH,131,FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE,2022-11-08,1055,1078,0,2133,REP,23,1.08,-1.08,1.12
FORSYTH,806,NC COURT OF APPEALS JUDGE SEAT 14,2024-11-05,778,795,0,1573,REP,17,1.08,-1.08,1.14
FORSYTH,135,US PRESIDENT,2024-11-05,1390,1421,0,2811,REP,31,1.1,-1.1,1.14
FORSYTH,807,NC LIEUTENANT GOVERNOR,2020-11-03,827,809,0,1636,DEM,18,1.1,1.1,1.16
FORSYTH,74,NC COURT OF APPEALS JUDGE SEAT 06,2020-11-03,1421,1390,0,2811,DEM,31,1.1,1.1,1.14
FORSYTH,16,NC SUPREME COURT ASSOCIATE JUSTICE SEAT 06,2024-11-05,1141,1167,0,2308,REP,26,1.13,-1.13,1.17
FORSYTH,908,NC COMMISSIONER OF LABOR,2020-11-03,1183,1156,0,2339,DEM,27,1.15,1.15,1.2
FORSYTH,805,NC COMMISSIONER OF AGRICULTURE,2020-11-03,1007,1031,0,2038,REP,24,1.18,-1.18,1.23
FORSYTH,908,US SENATE,2020-11-03,1186,1158,0,2344,DEM,28,1.19,1.19,1.24
FORSYTH,803,NC SECRETARY OF STATE,2020-11-03,734,752,0,1486,REP,18,1.21,-1.21,1.28
FORSYTH,74,NC DISTRICT COURT JUDGE DISTRICT 31 SEAT 10,2024-11-05,1456,1421,0,2877,DEM,35,1.22,1.22,1.25
FORSYTH,804,NC COMMISSIONER OF INSURANCE,2020-11-03,529,516,0,1045,DEM,13,1.24,1.24,1.34
FORSYTH,803,FORSYTH COUNTY BOARD OF COMMISSIONERS AT-LARGE,2022-11-08,597,612,0,1209,REP,15,1.24,-1.24,1.32
FORSYTH,135,NC SECRETARY OF STATE,2024-11-05,1418,1383,0,2801,DEM,35,1.25,1.25,1.28
FORSYTH,55,NC GOVERNOR,2020-11-03,1570,1610,0,3180,REP,40,1.26,-1.26,1.29
FORSYTH,74,NC TREASURER,2020-11-03,1396,1432,0,2828,REP,36,1.27,-1.27,1.31
FORSYTH,806,NC TREASURER,2024-11-05,776,796,0,1572,REP,20,1.27,-1.27,1.33
FORSYTH,32,NC ATTORNEY GENERAL,2024-11-05,1338,1373,0,2711,REP,35,1.29,-1.29,1.33
FORSYTH,134,NC HOUSE OF REPRESENTATIVES DISTRICT 074,2024-11-05,1367,1403,0,2770,REP,36,1.3,-1.3,1.33
FORSYTH,31,NC GOVERNOR,2024-11-05,780,801,0,1581,REP,21,1.33,-1.33,1.39
FORSYTH,16,US HOUSE OF REPRESENTATIVES DISTRICT 06,2022-11-08,743,763,0,1506,REP,20,1.33,-1.33,1.39
FORSYTH,806,NC COMMISSIONER OF INSURANCE,2020-11-03,794,773,0,1567,DEM,21,1.34,1.34,1.4
